text,
米国で多数の47人スパイが逮捕されてる中学術会議が47の千人計画に協力していることを否定し、悪質なデマだというデマを流してますがデマというだけで証拠を出せない一党独裁の国ですから形式的に民間を装っていても、国家組織、47で民間企業など事実上存在しません。 https://t.co/7xb3RXzkdL,
「何々やってたらしいね？」って言われても、そうですって開き直ってやってくしかない(笑)。でもそれが全く事実無根のデマだったら否定しなきゃならないですよね。そこから悪い誤解が生まれる可能性だってありますから。,
なぜCIAから否定の声明がないか？あなたのお母さんがデベソだというデマが回った時、お母さんは「わたしはデベソではない」という声明をわざわざ全国に向けて発信したり、ヘソの写真を公開して、デベソ問題で騒然とする人々を鎮める必要があるかというそういう話だからです。おわかりでしょうか。 https://t.co/JWFDQMBDSc,
壊れているのは、この国ではなく野党支持者の頭だと思う。毎日のように人格否定やデマを発信してるやん。どう見ても普通じゃないでしょ。 https://t.co/pCkj9J4Wfm,
@hayate_shipuudo @Ellie_staygold @makidekazu 僕のことパヨって言った人は、トランプ支持派の大統領選のデマをソース付きで否定したら「バイデン潰すのが大事だろうが」って論調で食いついてきた。事実よりイデオロギー優先して「現実が見えてない」だけの人。僕、一回もバイデン応援したことないし、トランプ支持なの明言してんのに。,
いろいろ巧妙なデマを考え付くものだな。ファクトチェック：米大統領選「不正の証拠サーバー押収」は誤り　企業・米陸軍も否定 - 毎日新聞 https://t.co/3AIBJqbwUu,
@fuyuko354 反反ワクチンの中心的な方…、io先生かしら？🤭あと、EARL先生も反反ワクチンだけど、どちらかというと、ワクチン単体よりも医療全体のデマをエビデンスで否定している感じ？,
nobutake_ishii は、とにかくアイヌとその歴史を否定できるような言い回しを文献から文脈無視で歪曲して、悪質なデマをツイッターに発信し続けている。アイヌ民族の否定と同化が目的。引用した文献の中に彼が主張したいことがしばしば否定されているので、原典を当たってください。#アイヌ #Ainu,
@TrinityNYC @y_yt @englishbootcamp 不正選挙だ。民主主義を破壊する行為だとか言いながら、デマを流して、否定されるとまた別のデマを流す。それを支持者は毎回信じて、妄想を拗らせてますし。彼らにとってはデマを根拠に不正選挙だと攻撃するのは民主主義を破壊する行為に当たらないんだろうなと思います。,
@kiyuna_tomoaki @Dgoutokuji すい‐ろん【推論】 の解説［名］(スル)ある事実をもとにして、未知の事柄をおしはかり論じること。「実験の結果から推論する」事実もなく、否定するはただのデマ,
@kiyuna_tomoaki @Dgoutokuji 試算は推論に近いでしょう推論（すいろん、英語: inference）とは、既知の事柄を元にして未知の事柄について予想し、論じる事である。きちんとしたデータを元に予測するのが推論アンケートは推論ではなく現実の効果を示すものあなたの否定は、根拠がないので今のところデマですね,
@hiroyoshimura 明日仕事😭なので録画してみます今日メディアが報じてたデマはきっちり否定してください！！嘘ばっかりやったし。。😒正しい情報流せないメディアなんて要らない！！,
@caplico1976 デマも否定します。,
【話題の画像】みんな！１８才未満がLINEが使えなくなるっていうのはデマたよ！公式アカウントが否定してる！ID検索が使えなくなるだけだよ！ https://t.co/aXFJjjiG8G,
@kn3194 簡単に説明しますねナチス・ドイツで使用された大衆煽動モデルといって、人への伝聞洗脳手法です意味だけ書きます1.勝ちを宣言しろ2.否定し続けろ3.真実が出たらデマで混乱させろ4.邪魔者が居たら攻撃しろ5.1～4を繰り返せ https://t.co/9VzR1zb3FV,
【デマ情報に注意！】伊東市の小野市長に関するデマ情報が拡散されているようですが、市長は否定しています。新型コロナをめぐる感染者の特定や、誹謗中傷、デマ情報の拡散などが社会問題になっています。噂レベルの情報は情報源を確認してから拡散してください。https://t.co/QV8ZlSrSni,
コンペに参加したことは否定していないな。まあゴルフでは感染しないと思うが。【新型コロナ】「感染拡大は市長のゴルフコンペ参加がきっかけ」のデマ拡散…静岡・伊東市長「あってはならない」と憤り（静岡朝日テレビ）#Yahooニュース https://t.co/6WzdAy8mDn,
デマ注意！「男性へのクリスマスプレゼントはがおすすめ｣というデマが流れていますが絶対に信用しないでください！男性が本当に望んでいるのは滲み出す混濁の紋章不遜なる狂気の器湧き上がり否定し痺れ瞬き眠りを妨げる爬行する鉄の王女絶えず自壊する泥の人形結合せよ反発せよ地に満ち己の無力を知,
これも本来は国がやる仕事。予備費10兆円はどうしたのか&amp;菅義偉さんは国会閉じてる場合か。ついでにPCR否定論者はマジでそろそろ勉強しろ。数ヶ月前に決着済みのデマを流すな。https://t.co/gRYEu4VqLi https://t.co/uNVSiuGUwd,
PCR検査否定デマもいよいよ手が込んできた。 https://t.co/0fIor9obgD,
陰謀論やデマやカルトの怖さはここだよな…………敵同士でさえもうひとつふたつ上の段階でさらに断絶されてしまう。敵同士だって共通言語で会話できることが否定されてしまう,
@bunshun_online アメリカの大統領選に限らず、SNSの情報もマスメディアの情報も、デマや切り取りといった形で、誤解を与えかねないようなものがほとんどな気がする🤔この記事だって、最後ではお母さんの情報も否定しきれないって書いてあるのに、「陰謀論」なんてタイトルにまとめるから誤解も生まれる…,
@kohyu1952 https://t.co/WwKH4UhbCOアメリカでとっくに否定されたデマをバカの間でグルグルさせて重要な「真実」みたいな雰囲気を作り出そうとするザマ。マトモな思考力があれば「保守派論客」とか「事情通」として持て囃されてた連中がアジテーターに過ぎなかった事が可視化がされてる光景に見えるハズだが。,
産経以外の記事無いのか探したけど見つからんし、読んでみたらNIKEはロビー活動否定してるし。またデマかよ産経～ウイグル人強制労働防止法案に「反対」　ナイキなどロビー活動 https://t.co/Gz9MuiIqMF @Sankei_newsから,
@chiekobkk 仰る通りですね！あとは逆にこれが発がん性の可能性があるなんて根拠がないデマ流す人もそうでしょうし。よく除草剤のラウンドアップなんかがそうやって批判されていたりします。ラウンドアップの発がん性は否定されているんですけど調べたりしないんでしょうね💧本当に気を付けていかないとですね😣,
@atsuji_yamamoto 「名古屋ではエビフライをエビフリャーと言う」なるデマが有りましたが名古屋人がその都度「そんな言い方はしない！」と否定し続けた結果、見事に払拭出来ましたwそんなデマを語るのは、情弱で時代遅れな人だけに山口の方も頑張りましょう！,
@moth0127 今回は国が先頭になってデマを撒いてますからね…否定できるだけの知識を得るのは容易ではないと思います。当初国の安全デマを信じてしまった人は、何を信じていいかわからなくなった末に思考停止して目を閉じてる人が多いような気がしますね。,
失礼します。本当に。否定批判ばかり、、ですがアジア人ぽい英語(上手)は味があるみたいですよ✨海外ではまだPは発展途上、今後は本人次第ですよね🎵犯罪捏造しデマ撒いた人達は反省がなさそう。海外で活躍する日本人の足を引っ張らず、守って頂きたいですね😅 https://t.co/7JXqrOVcup,
「福島でがん増加はない」が国際的コンセンサスである、のようなデマを飛ばすライターがいるようですが、福島の検討委員会およびUNSCEARは放射線影響の可能性を否定しておらず、国際環境疫学会も多発を受けて甲状腺がんリスクの見直しを勧告しています。デマにご注意！,
自称在米ジャーナリスト飯塚真紀子の記事はいつもフェイクに満ちている。既に否定されたをさも事実のように宣伝している。こうした詐欺師の様なジャーナリストは何故か選挙不正については一切調べずにトランプをこき下ろす。活動家がメディアを占拠したようだ。#報道 #デマ https://t.co/KxBrb6ysjJ,
でもその時は私と友達はPC持ってて、当時はスマホないからその子の情報源は携帯だけだったから入ってくる情報の速度に差があったのに「そのアニメの2期〇月からだね」→「は？どこ情報？私知らないからそんなのデマだよ」とか無知故の否定をしてくるようになった最初は仕方ないなーって思ってたけど,
@kurohikosan 「新型コロナの危険性などデマだ」という人々が「それはインフルエンザのせいだ」と言っていましたが、何れにせよマスクや手洗いなど感染対策を否定する人間が人殺しなのは違いないと・・・,
@amenouzume777 あなたは情報弱者だから　#コロナは茶番　と言うデマを信じて、大橋眞氏が医学部卒でもなく医師免許もなく、徳島大学から関与を否定されている元名誉教授に過ぎないことを知らないのです。実験室なく研究もしない人間を崇めている　#国民主権党　もアホですね。https://t.co/ZkzAAE394S#平塚正幸,
あなたは情報弱者だから　#コロナは茶番　と言うデマを信じて、大橋眞氏が医学部卒でもなく医師免許もなく、徳島大学から関与を否定されている元名誉教授に過ぎないことを知らないのです。実験室なく研究もしない人間を崇めている　#国民主権党　もアホですね。https://t.co/ZkzAAE394S#平塚正幸 https://t.co/lmexuRyOFa,
〇通が書いたデマ情報を、自ら目にしたものも否定してデマに踊らされるのは、ネット依存だわ。,
SNS議論を100％否定する、納得の論文！ 主犯は、真っ先に死ぬ炭鉱のカナリア＝爺さん政治家。やれば自分が先に死ぬの。古今東西、未来永劫、本物ウィルスは散布しません。https://t.co/2Ao5PVSzjW「コロナは演技です」 12/20誕生するコロナⅡも、カナリア爺さんの演技。デマTVを信じるな！,
前はアメリカCIA長官がトランプ大統領の名代として台湾へ訪問するデマを否定するの外交部（日本の外務省相当）公式ニュースを見ましたが、ちょっと調べたら、ハスペル女史は日本で米軍に逮捕されたり、銃殺されたり、病死したりなど沢山デマがありますね、忙しい御仁と思います。😃,
@ETF37433932 @ymtco 5月からデマは出て否定されてるんですがまた拾う🐎🦌は出てきますよ　　　　   ⬇️以下5月の🐎🦌 https://t.co/izLkj2ZmJ2,
@VXZs7mWYBpHbJeN @Sankei_news すでにジョージアの選挙管理委員会の共和党メンバーが、秘密裏で票をカウントしていたという主張はデマだとはっきり否定します。証拠というならYoutubeじゃなく裁判所に提出すればいい。https://t.co/mJ4DfWSl2y,
医療崩壊　大阪赤信号#モーニングショー 💎日本学術会議♦️憲法さえ否定する👹菅総理🔥おバカなフェイクやデマを垂れ流している腐り切った🔥自民党‼️💢👹菅総理は憲法や法律を全く理解出来ないのだろうか⁉️🔷🟥結論🟥🔷🟥菅総理は憲法違反‼️🟩🔥即刻辞任すべき‼️🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/SsIykl9NtY,
デマ注意！｢男へのクリスマスプレゼントはネクタイがおすすめ｣というデマが流れていますが絶対信用しないでください！男が本当に望んでいるのは滲み出す混濁の紋章、不遜なる狂気の器、湧き上がり・否定し・痺れ・瞬き・眠りを妨げる,
こういう偽善の戯言を言い続けてきた結果が慰安婦や徴用工のデマで乞食国家のタカリに繋がったというのを認識しない限りタカられ続ける岩田健太郎「ナイキCM貫通力あって傑作。肯定的に受け止めてこそ差別を否定する日本人、わかるか？」 | TweeterＢreakingＮews－ツイッ速 https://t.co/GIcAS06Ztt,
@kazugrace @TomoMachi ジョージアの選挙管理委員会の共和党メンバーが、秘密裏で票をカウントしていたという主張はデマだとはっきり否定します。https://t.co/mJ4DfWSl2y,
text,
医療崩壊　大阪赤信号世代の移動自粛💎日本学術会議♦️憲法さえ否定する👹菅総理🔥おバカなフェイクやデマを垂れ流している腐り切った🔥自民党‼️💢👹菅総理は憲法や法律を全く理解出来ないのだろうか⁉️🔷🟥結論🟥🔷🟥菅総理は憲法違反‼️🟩🔥即刻辞任すべき‼️🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/SsIykl9NtY,
米国で多数の47人スパイが逮捕されてる中学術会議が47の千人計画に協力していることを否定し、悪質なデマだというデマを流してますがデマというだけで証拠を出せない一党独裁の国ですから形式的に民間を装っていても、国家組織、47で民間企業など事実上存在しません。 https://t.co/7xb3RXzkdL,
デマの話だけど、そういえばマスクだって否定する人達がいて、それ、マスコミもとりあげてたじゃない。マスク、大切だったでしょう！PCR検査、必要だったでしょう！マスコミのリテラシーがしっかりしてれば、世論も随分違っているだろうに。原発事故後の放射能デマだってマスコミが拡げてた。,
若者がＳＮＳで必死に新コロ品薄デマを否定、一方その頃老人は…老害リムーバーされるぞ,
デマ注意！「男へのクリスマスプレゼントにはネクタイがいい」というデマが流れていますが絶対に信用しないでください！男が本当に望んでいるのは滲み出す混濁の紋章、不遜なる狂気の器、湧き上がり、否定し、痺れ、瞬き、眠りを妨げる爬行する鉄の王女、絶えず自壊する泥の人形、結合せよ、反,
@morinokuma3 @marukokanamono 知り合いのよしみで教えて差し上げますが、その方々山口さんを中国人だ十勝幌尻農場が中国に売られた土地だと騒いで悪口言ってる連中ですよ。まっ顛末に興味はないですが、山口さんに儲けさせてもらった人間がつるむべき連中ではないので、しっかりデマをデマと否定されよ。,
デマ注意！「女性へのクリスマスプレゼントはアクセサリーやバッグがおすすめ」というデマが流れていますが絶対信用しないでください！女性が本当に望んでいるのは『良いの匂いの適度なマッチョによるハグから始まる性癖を否定されない包容力大放出満足おセックス』です。よろしくお願い致します。,
@sky53460980 人間関係、仕事関係、取り組んでたチャリティー…全部否定だよね(´･ω･`)デマ拡散、誹謗中傷…春馬くんがもっとも嫌いそうな人間になってる気がする…( ｰ́∀ｰ̀ )呆春馬くんに好かれる要素0じゃない??,
Eテレ売却案報道をNHK会長が否定「教育テレビはNHKらしさの一つの象徴」 #ldnews https://t.co/O9X9it1NQYさっきの話デマなのか,1
@aka11209137 【美しさの象徴としてリングをつける】というのが意味不明です。まあその方が仰るなら否定はしませんが、本当にブラジルを始めとする南米諸国でそういう風習があるのかどうかを確かめてからツイートされても良かったと思いますね。でないとあなたがデマの拡散者になるわけです。,
悪質なデマを流す人ってのは、数字を無視するんじゃなくて、都合のいい数字を使う人なのかねえ。意味のある数字ではなく、(自分にとって)価値のある数字を使う誘惑に勝てない・・？　（使う、という肯定形ではなく、勝てない という否定形の方が、攻撃感・バカにしてる感が 高まるか・・？🤔）,
飛行機でマスクしないで俺陽性って体張って騒ぎ立てたんだがらコロナ否定派の人達も体張ってコロナはデマって言って欲しい,
@Jadeoberstein @miuniey @parallaxma @thoth1203 @YahooNewsTopics ごめんなさい。私は愛国者なんですよ。日本を愛しています。天皇に関するデマや捏造って多いので国民は天皇に騙されて国益を損なっていると思うんです。根拠が知りたいのです。私は、天皇制は否定しますが日本という国を愛する愛国者です。,
酷いデマ。今はしっかりデマだとわかるし否定できますが当時は少しでもこう言う発言を否定しようものなら袋叩きにあっていたんだっけ？ https://t.co/K1xwOQTrvn,
@Lea54304529 ありがとうございます！TVマスコミ報道はトランプさんを否定してるので 新生活様式に従って死に急ぐ方々は興味が無いでしょうねデマや陰謀論以前に死ぬまで分からないと思います,
元ニューヨーク市長がデマだとされていることを否定。嘘をいうと五年くらう宣誓陳述書がどっさりあるという。https://t.co/o66rKZ9vU6,
@buttyakekemono マスコミは信じないのに「パチンコは北朝鮮の資金源」とか10年以上前に否定されたデマを未だ信じてる人を最近見かけて笑いました。,
右翼は嘘を信じやすい認知バイアスをしているからな。「否定論・陰謀論を信じる理由について 」https://t.co/ZMrXJWphXn「右翼は騙されやすい」https://t.co/8I6SWyA2Zh「保守思想の持ち主は政治家のデマに寛容なことが明らかに」https://t.co/WqCU03rRO9 https://t.co/TpIOYpMBbQ,
@psycoxxxxx まずヴィーガン側と円滑なコミュニケーションが取れない場合、ヘイト、デマ対策としてアンチ様にはお世話になってるなぁ・・・という思いなので、人格否定したり自浄したりは難しいですー…こちらばかり綺麗になってもヴィ様側からサンドバッグにされてしまいます・・・,
"@kohyu1952 これも嘘。デマ。ガセ。CBS記者が引用した司法省広報官の言い分は「AP通信のインタビュー内容の要旨は""司法省としての最終的な結論""という意味ではない」ということ。AP通信の報道内容は否定してない。英語全然できないのになんで「英文情報の紹介」をしようとするんですか？https://t.co/wpJ44MNVaW",
いちからが「当事者が否定するなら証拠を出す」という言葉にビビったのかリーク動画に真っ向から対抗しなかった時点でデマじゃねぇよ夢月ロアといちからはRPで後輩に迷惑を掛けて引退まで追い込んだ事実に目を背けて見苦しくゴシップ野郎にも劣るデマを流してんじゃねぇぞ https://t.co/hmq7uioYrc,
訴状にあがっている証拠をデマだと決めつける権利は結果が出るまで誰にもないと思います。また、公聴会で承認として話している人を今のところ否定する権利もありません。P女史が証拠の捏造で訴えられているでしょか？公聴会で証言した人が捕まっていますか？#大統領選挙2020,
@noharra @xtxeNnqF @Bo_San_2D @mgdagmpavmgd @tokugona44 @kizineko8 @vxf9alMy6sn74g4 @Pooh_advanced @NEKOHAKU21 @tim123456789021 @satoponda @MituzoJ @ekesete1 @saintarrow @fab4wings @jupiterthunder_ @ken16649608 @ZF_phantom @green_hell_ad @WalthervonderV3 @OblakoObLaDa @ObLaDiOblako @5d0bnpSkLdf0lN9 @kakitubata14 @penguin3001 @amphitrite1234 @hirosaito0707 @kikikikikiwwwww @DMF31S_370ps @x18008fxxkoff @0Qa2VrDhT8wvuKU @haebaru @tomoyuki12151 @makotodeth @zoFtG0Jg3rJQ8Np @shishinosenzi @hirohir00010018 @beruhaneko5 @jimejimekato @online_checker @9takipons @udongurai_ @abcarelu @GIN012345 @nana77rey1 @hakobune4 @hikari_tsukasa @tSK2oKV8Qd8G6d4 そうですか。ウンコパヨクには慰安婦の強制を信じてムダにエネルギーを費やしてほしいと思っていましたが、無知とデマで風評被害が起きるので、否定する様にしました,
Twitter民「司法省機追跡！」司法省機「昨日もｷｭｰﾊﾞに飛ぶ！」司法省「頻繁にｸﾞｱﾝﾀﾅﾓ往復！（定期便化」米国「答え合わせ完了！」Twitter「追跡垢規制！」謎の勢力「あっ」→ -  /)；｀ω´)＜国家総動員報 https://t.co/hf2YewHrx1バイデン親派が１個をデマ否定すると、証拠が10個出て来る,
何が何でもこの像を設置する必要が有るんやろね、何十年後かにまたこれを利用せなあかんから、嘘だと全部バレても平気な歴史捏造国家、羞恥心なるものがなさ過ぎて国際的にまともに相手にされない国日本はこんなデマによる父祖の名誉を傷つける像はとことん否定していかないと相手は強かだよ https://t.co/g9Gu7VgUxw,
もうね、｢日本では乳量増やす為にホルモン剤打って無いし、抗生物質が混入した牛乳は破棄するから市場に出回る事は無い｣って否定しに行くのもめんどうなんだわ😑アイツ等多分知った上でデマ流してるんだろうから😑,
@sugarcake__ ｢ずっと友達出来なくて1人だったけどTwitterでネトウヨ垢始めてやっと居場所出来た｣みたいな話も読んだことあるからほんとに根深い……ああいうデマ臭い話はちゃんと否定した方が絶対良いんだけど、呟いてるの絶対変な人だから関わりたくなくてブロックをしてしまう……,
政府の債務がGDPの9割超えたら危険だとデマを飛ばしたのは米国の経済学者で、あっと言う間に日本の現実によって否定された。日本の債務はGDPの230％を超えるがインフレも金利の上昇も起きないどころか、金利はゼロに近く物価は下がり続けている。要するに数学的な空理空論だったという事だ　#経済学,
@returns_slice @ganaha_masako AP通信のデマです。願望垂れ流しです。司法省はこの記事が出た後すぐに否定。激おこぷんぷん丸です。それと、これだけの不正情報があるのです。しっかり調べるのが当たり前です。困るのは不正してる人達だけです。,
これは韓国の嘘を嘘とも思わないのとは次元の違う話しだ。いわゆる虚偽だった時は、厳罰を受け入れますという宣誓をしてからの証言だ。これを頭からデマだと言う前に、その根拠を示した上で否定するのが筋ではないか？無責任な発言を繰り返す輩たちには腹立たしさより、ある種の哀れさを！ https://t.co/0kjOoUsTuE,
篠原常一郎先生の発信がデマならデマで後に篠原先生の信用が失われるだけだから放っておけばいいのに執拗に絡んで躍起になって否定しているのはどういう理由があるのかな,
@iwao96 @YOTSUBA_YOPPA @ichirojiro12345 @nikejapan やっぱりただの悪口では？あなたの言う「嘘デマを盲信し撒き散らす」みたいなのも定義されてませんしそのような思想の人がいるのは否定しませんけど、結局呼ぶ人次第の差別的な用語だと思いますよ https://t.co/hlvmuM8vBp,
text,
自分に対するゴシップ報道には嫌悪感示すアーチストが、政治デマ陰謀説や民族に対するデマ陰謀説は「100%否定できるものではないから〜」言うてデマ陰謀説を流布拡散することを肯定するってのはどういう了見なんや。我が事からポジション変えりゃあ、御気分上等でやりたい放題か。(･∀･),
その時々は反省したふりして「今後気をつける」くらい言いやがるんだけど、その場しのぎのカタチだけやわなあ。火のないところに煙立てて、煙だけじゃ消せないことを利用するんやわなあ。「１００％否定出来ないから推論なのだから〜」言うてデマ陰謀説流し放題やわ。(･∀･),
2015年に三宅洋平がユダヤ陰謀説流布拡散問題の時と同じで、スピっ子は「陰謀説だって100%否定は出来ない」と口尖らせるんや。あの時も加担しとるスピアーティストに「アメリカにおけるユダヤヘイトの歴史」みたいな論文示してデマ陰謀説がどんな結果を招くかを警鐘したことあるんやけど、,
@ATGA55 @ao_llo_oll @hyakutanaoki 低評価原因は「今回も前回もバイデンと同時間帯にトランプの票ジャンプもあった」と主張したからじゃないかな？証拠も示さずに。トランプ応援派へは「証拠がない」「デマだ」という彼らは何もその証拠を示さない。否定するからには出処や根拠を示してもらいたいです。高評価は大高さん分ですね。,
米国で多数の47人スパイが逮捕されてる中学術会議が47の千人計画に協力していることを否定し、悪質なデマだというデマを流してますがデマというだけで証拠を出せない一党独裁の国ですから形式的に民間を装っていても、国家組織、47で民間企業など事実上存在しません。 https://t.co/7xb3RXzkdL,
@shushu_suru さっき否定したのにまた投稿してる。なぜ嘘を投稿するの。デマ拡散は規約違反です。規約違反する限り、プロテストし続けます,
【話題の画像】みんな！１８才未満がLINEが使えなくなるっていうのはデマたよ！公式アカウントが否定してる！ID検索が使えなくなるだけだよ！ https://t.co/vEFoGubIpP,
今回の不正選挙の日本国内のデマ。在米邦人や、現地取材者が全力で否定しているのに「日本から見ている方が正しい」と言い張るあれ。ちょっと前に「He’s left.」でモメた時を思い出す。やっぱり在米邦人や翻訳家が全力で否定するのに「左派と言う意味だ！」と言う人が耐えなかった。,
@LiberalismStu 経済政策が縮小化した？のだったり、憲法議論で多くの人に「⁉️」となって求心力が落ちてきてるのは否めませんが、支持者としては、信じて、デマは否定するし、多くの政策が取り入れられたらすかさずアピールしたいところです。グリフィンドール🦁れいわも頑張って💪,
デマ注意！｢男へのクリスマスプレゼントはネクタイがおすすめ｣というデマが流れていますが絶対信用しないでください！男が本当に望んでいるのは趣味を否定しない寛容さです！,
